cntry,country,essround_yr,age_group,wellbeing_m_minus_w,wellbeing_color,wellbeing_men,wellbeing_woman,media_m_minus_w,media_color,media_men,media_woman,internet_m_minus_w,internet_color,internet_men,internet_woman,relig_m_minus_w,relig_color,relig_men,relig_woman,social_m_minus_w,social_color,social_men,social_woman,finstab_m_minus_w,finstab_color,finstab_men,finstab_woman,conservatism_m_minus_w,conservatism_color,conservatism_men,conservatism_woman,trust_m_minus_w,trust_color,trust_men,trust_woman
NO,Norway,2016,40-59,0.17,7,5.03,4.86,,,,,0.02,7.0,5.84,5.83,-0.28,9,2.07,2.35,-0.23,9,3.73,3.96,0.09,7.0,4.59,4.5,0.17,7,3.0,2.83,-0.05,8,4.37,4.42
NO,Norway,2016,60+,0.19,7,4.95,4.77,,,,,0.58,5.0,4.83,4.25,-0.45,10,2.45,2.9,-0.08,8,3.72,3.8,0.19,7.0,4.32,4.13,0.14,7,3.19,3.05,-0.01,8,4.3,4.31
NO,Norway,2016,<25,0.48,5,5.17,4.69,,,,,0.05,7.0,5.97,5.91,-0.36,9,1.87,2.23,0.08,7,4.37,4.29,0.22,6.0,4.25,4.03,0.07,7,2.73,2.65,0.0,7,4.53,4.53
NO,Norway,2016,AGGREGATE,0.24,6,5.04,4.8,,,,,0.15,7.0,5.58,5.43,-0.31,9,2.14,2.46,-0.15,8,3.85,4.0,0.13,7.0,4.39,4.26,0.2,6,3.01,2.81,-0.04,8,4.35,4.38
PL,Poland,2016,25-39,0.09,7,4.85,4.76,,,,,-0.25,9.0,5.11,5.35,-0.57,10,3.35,3.92,0.18,7,3.59,3.41,-0.02,8.0,4.16,4.18,0.12,7,3.27,3.14,-0.16,8,2.93,3.09
PL,Poland,2016,40-59,0.12,7,4.48,4.36,,,,,-0.55,10.0,3.7,4.25,-0.38,9,3.9,4.28,-0.03,8,3.23,3.26,-0.09,8.0,3.69,3.78,0.03,7,3.3,3.27,-0.08,8,2.91,2.99
PL,Poland,2016,60+,0.12,7,4.28,4.16,,,,,0.27,6.0,2.38,2.1,-0.37,9,4.2,4.57,0.05,7,3.17,3.11,0.24,6.0,3.46,3.22,0.1,7,3.53,3.44,0.1,7,3.12,3.03
PL,Poland,2016,<25,0.17,7,4.92,4.75,,,,,0.1,7.0,5.81,5.71,-0.1,8,3.63,3.73,0.06,7,3.95,3.89,0.02,7.0,4.23,4.21,0.37,6,3.5,3.13,0.1,7,3.27,3.18
PL,Poland,2016,AGGREGATE,0.14,7,4.57,4.43,,,,,-0.0,8.0,3.94,3.95,-0.42,10,3.82,4.23,0.08,7,3.4,3.32,0.09,7.0,3.8,3.71,0.11,7,3.39,3.28,-0.02,8,3.03,3.05
PT,Portugal,2016,25-39,0.08,7,4.62,4.55,,,,,0.39,6.0,5.78,5.39,-1.04,13,2.15,3.19,0.25,6,4.09,3.84,0.32,6.0,4.25,3.93,-0.01,8,2.72,2.73,-0.2,9,3.04,3.24
PT,Portugal,2016,40-59,0.31,6,4.51,4.21,,,,,0.11,7.0,4.63,4.52,-0.77,11,2.92,3.69,0.25,6,3.83,3.58,0.52,5.0,4.17,3.65,-0.09,8,2.8,2.9,-0.09,8,3.15,3.24
PT,Portugal,2016,60+,0.32,6,4.08,3.77,,,,,0.64,4.0,2.86,2.23,-1.05,13,3.33,4.38,0.22,6,3.69,3.48,0.52,5.0,3.64,3.12,-0.16,8,2.98,3.14,0.05,7,2.92,2.87
PT,Portugal,2016,<25,0.02,7,4.69,4.67,,,,,0.06,7.0,5.88,5.81,-0.88,12,2.08,2.96,0.04,7,4.17,4.14,0.59,5.0,4.34,3.74,0.09,7,2.82,2.73,0.22,6,3.54,3.31
PT,Portugal,2016,AGGREGATE,0.24,6,4.37,4.13,,,,,0.38,6.0,4.21,3.83,-0.95,12,2.87,3.82,0.22,6,3.85,3.63,0.48,5.0,3.98,3.5,-0.09,8,2.86,2.95,-0.02,8,3.07,3.09
RU,Russian Federation,2016,25-39,0.05,7,4.07,4.02,,,,,-0.19,8.0,5.0,5.19,-0.43,10,2.22,2.65,0.07,7,3.32,3.25,0.29,6.0,3.83,3.54,0.05,7,3.91,3.86,-0.06,8,2.92,2.98
RU,Russian Federation,2016,40-59,0.15,7,3.94,3.8,,,,,-0.32,9.0,3.78,4.1,-0.58,10,2.37,2.95,-0.11,8,3.0,3.11,0.25,6.0,3.64,3.39,0.01,7,3.96,3.95,-0.0,8,2.99,3.0
RU,Russian Federation,2016,60+,0.13,7,3.75,3.62,,,,,0.15,7.0,1.92,1.78,-0.87,12,2.33,3.2,-0.32,9,2.72,3.05,0.49,5.0,3.09,2.6,-0.06,8,4.01,4.07,-0.2,9,2.96,3.17
RU,Russian Federation,2016,<25,0.18,7,4.41,4.23,,,,,0.05,7.0,5.65,5.6,-0.29,9,2.15,2.45,-0.02,8,3.62,3.64,0.28,6.0,3.79,3.52,0.05,7,3.74,3.68,-0.31,9,3.3,3.61
RU,Russian Federation,2016,AGGREGATE,0.19,7,4.01,3.82,,,,,0.42,5.0,4.05,3.64,-0.66,11,2.28,2.93,-0.02,8,3.14,3.16,0.47,5.0,3.59,3.12,-0.03,8,3.92,3.95,-0.1,8,3.0,3.1
SE,Sweden,2016,25-39,0.28,6,5.03,4.75,,,,,0.04,7.0,5.89,5.85,-0.23,9,1.82,2.05,0.03,7,4.18,4.14,-0.17,8.0,4.49,4.66,0.31,6,2.78,2.47,0.0,7,4.0,3.99
SE,Sweden,2016,40-59,0.19,7,4.91,4.72,,,,,-0.08,8.0,5.81,5.89,-0.42,10,1.86,2.28,-0.06,8,4.03,4.1,0.02,7.0,5.04,5.02,0.22,6,2.79,2.57,-0.07,8,3.97,4.04
SE,Sweden,2016,60+,0.17,7,4.79,4.63,,,,,0.02,7.0,4.52,4.5,-0.36,9,2.14,2.51,-0.17,8,3.82,4.0,0.23,6.0,4.52,4.29,0.09,7,2.9,2.81,0.01,7,3.84,3.83
SE,Sweden,2016,<25,0.57,5,5.0,4.43,,,,,0.05,7.0,5.96,5.91,-0.05,8,1.83,1.88,0.1,7,4.3,4.2,0.06,7.0,4.34,4.27,0.12,7,2.64,2.52,0.07,7,4.11,4.04
SE,Sweden,2016,AGGREGATE,0.23,6,4.89,4.66,,,,,-0.01,8.0,5.32,5.32,-0.33,9,1.96,2.29,-0.07,8,4.0,4.07,0.06,7.0,4.67,4.6,0.17,7,2.81,2.64,-0.01,8,3.94,3.95
SI,Slovenia,2016,25-39,0.12,7,4.95,4.83,,,,,0.14,7.0,5.69,5.55,-0.48,10,2.37,2.85,-0.06,8,3.66,3.72,0.17,7.0,4.53,4.36,0.29,6,3.33,3.03,-0.15,8,2.91,3.07
SI,Slovenia,2016,40-59,0.11,7,4.57,4.45,,,,,-0.1,8.0,4.49,4.6,-0.52,10,2.55,3.07,0.15,7,3.46,3.31,0.04,7.0,4.15,4.11,0.14,7,3.32,3.18,-0.05,8,2.9,2.95
SI,Slovenia,2016,60+,0.04,7,4.26,4.22,,,,,0.31,6.0,2.47,2.16,-0.63,11,2.54,3.17,0.11,7,3.37,3.26,0.06,7.0,3.59,3.52,0.05,7,3.38,3.33,-0.17,8,2.83,3.0
SI,Slovenia,2016,<25,0.33,6,5.11,4.78,,,,,-0.14,8.0,5.73,5.87,-0.16,8,2.72,2.89,-0.03,8,3.83,3.86,0.0,7.0,4.67,4.66,0.33,6,3.36,3.03,0.06,7,3.59,3.53
SI,Slovenia,2016,AGGREGATE,0.16,7,4.63,4.47,,,,,0.27,6.0,4.3,4.03,-0.51,10,2.53,3.05,0.1,7,3.52,3.42,0.11,7.0,4.11,4.0,0.15,7,3.34,3.19,-0.08,8,2.97,3.05
AT,Austria,2018,25-39,0.04,7,5.02,4.98,,,,,-0.06,8.0,5.78,5.84,-0.26,9,2.21,2.47,0.01,7,3.89,3.89,-0.08,8.0,3.93,4.0,0.07,7,3.05,2.98,0.03,7,4.04,4.0
AT,Austria,2018,40-59,0.02,7,4.69,4.67,,,,,-0.04,8.0,5.22,5.26,-0.47,10,2.6,3.07,0.0,7,3.69,3.69,0.06,7.0,4.1,4.04,0.17,7,3.19,3.01,-0.01,8,4.01,4.03
AT,Austria,2018,60+,0.16,7,4.7,4.54,,,,,0.51,5.0,3.46,2.95,-0.54,10,3.11,3.66,-0.06,8,3.59,3.65,0.37,6.0,3.94,3.57,0.19,7,3.35,3.15,0.1,7,4.14,4.05
AT,Austria,2018,<25,0.13,7,5.11,4.98,,,,,-0.01,8.0,5.83,5.84,-0.38,9,2.04,2.42,-0.13,8,4.1,4.23,0.26,6.0,3.84,3.59,0.3,6,2.96,2.65,-0.05,8,4.1,4.14
AT,Austria,2018,AGGREGATE,0.1,7,4.8,4.7,,,,,0.21,6.0,4.74,4.53,-0.48,10,2.66,3.14,-0.02,8,3.73,3.75,0.17,7.0,3.98,3.82,0.16,7,3.2,3.04,0.03,7,4.07,4.04
BE,Belgium,2018,25-39,0.15,7,4.8,4.65,,,,,-0.01,8.0,5.82,5.83,-0.24,9,2.09,2.33,0.05,7,3.9,3.85,-0.1,8.0,4.13,4.23,0.08,7,2.84,2.76,-0.25,9,3.53,3.78
BE,Belgium,2018,40-59,0.2,7,4.71,4.51,,,,,0.07,7.0,5.41,5.34,-0.37,9,2.24,2.61,-0.12,8,3.64,3.76,0.23,6.0,4.38,4.14,0.08,7,2.92,2.84,0.11,7,3.68,3.58
BE,Belgium,2018,60+,0.18,7,4.61,4.43,,,,,0.65,4.0,4.13,3.47,-0.53,10,2.64,3.17,-0.01,8,3.51,3.52,0.44,5.0,4.03,3.6,0.09,7,3.02,2.94,0.05,7,3.68,3.63
BE,Belgium,2018,<25,0.21,6,4.82,4.61,,,,,0.07,7.0,5.83,5.76,-0.13,8,2.27,2.4,0.1,7,4.08,3.98,0.06,7.0,4.2,4.14,0.12,7,2.84,2.71,-0.23,9,3.85,4.08
BE,Belgium,2018,AGGREGATE,0.18,7,4.71,4.53,,,,,0.24,6.0,5.15,4.91,-0.36,9,2.34,2.7,-0.01,8,3.72,3.73,0.2,7.0,4.19,3.99,0.09,7,2.92,2.84,-0.03,8,3.67,3.71
BG,Bulgaria,2018,25-39,0.24,6,4.01,3.77,,,,,-0.01,8.0,5.28,5.29,-0.58,10,2.31,2.89,0.13,7,3.67,3.54,-0.03,8.0,3.11,3.14,-0.05,8,3.7,3.75,-0.08,8,2.37,2.44
BG,Bulgaria,2018,40-59,0.12,7,3.8,3.68,,,,,-0.16,8.0,4.2,4.36,-0.5,10,2.35,2.85,0.12,7,3.37,3.25,0.11,7.0,3.18,3.06,0.19,7,3.85,3.66,-0.01,8,2.47,2.48
BG,Bulgaria,2018,60+,0.21,6,3.3,3.1,,,,,0.11,7.0,2.18,2.06,-0.67,11,2.49,3.16,-0.05,8,3.0,3.05,0.32,6.0,2.49,2.17,0.11,7,3.84,3.73,-0.08,8,2.42,2.51
BG,Bulgaria,2018,<25,0.24,6,4.56,4.33,,,,,-0.21,9.0,5.32,5.53,-0.34,9,2.37,2.72,0.1,7,4.26,4.16,-0.2,9.0,2.89,3.09,0.14,7,3.69,3.55,-0.01,8,2.71,2.72
BG,Bulgaria,2018,AGGREGATE,0.23,6,3.68,3.45,,,,,0.18,7.0,3.58,3.4,-0.59,10,2.41,3.0,0.08,7,3.33,3.25,0.22,6.0,2.84,2.61,0.12,7,3.81,3.69,-0.05,8,2.46,2.51
CH,Switzerland,2018,25-39,0.2,7,5.16,4.96,,,,,0.04,7.0,5.83,5.78,-0.11,8,2.42,2.53,-0.13,8,3.84,3.97,0.17,7.0,4.22,4.05,0.11,7,2.82,2.71,0.05,7,4.29,4.24
CH,Switzerland,2018,40-59,0.07,7,5.02,4.95,,,,,0.09,7.0,5.58,5.49,-0.48,10,2.63,3.11,-0.03,8,3.79,3.82,0.24,6.0,4.51,4.27,0.23,6,2.98,2.75,0.13,7,4.4,4.27
CH,Switzerland,2018,60+,0.2,7,4.97,4.77,,,,,0.52,5.0,4.46,3.94,-0.66,11,2.79,3.45,0.05,7,3.77,3.72,0.39,6.0,4.2,3.81,0.16,7,3.13,2.97,-0.02,8,4.15,4.17
CH,Switzerland,2018,<25,0.2,7,5.18,4.98,,,,,-0.09,8.0,5.81,5.91,0.1,7,2.44,2.35,-0.15,8,4.04,4.19,-0.16,8.0,4.33,4.49,0.18,7,2.85,2.67,0.1,7,4.34,4.24
CH,Switzerland,2018,AGGREGATE,0.16,7,5.06,4.9,,,,,0.19,7.0,5.33,5.13,-0.38,9,2.61,2.99,-0.04,8,3.83,3.87,0.23,6.0,4.33,4.1,0.17,7,2.98,2.8,0.06,7,4.29,4.23
CY,Cyprus,2018,25-39,0.15,7,4.86,4.72,,,,,-0.12,8.0,5.56,5.68,-0.43,10,3.56,3.99,0.21,6,3.6,3.39,0.22,6.0,3.87,3.64,0.09,7,3.43,3.34,-0.14,8,2.7,2.85
CY,Cyprus,2018,40-59,0.23,6,4.72,4.5,,,,,0.19,7.0,5.03,4.84,-0.44,10,3.77,4.21,0.11,7,3.19,3.08,0.36,6.0,3.84,3.49,-0.18,8,3.33,3.51,0.07,7,3.21,3.13
CY,Cyprus,2018,60+,0.41,5,4.44,4.03,,,,,0.8,4.0,2.83,2.04,-0.82,12,4.13,4.94,0.31,6,3.07,2.76,0.6,5.0,3.44,2.84,-0.05,8,3.7,3.75,-0.02,8,3.18,3.2
CY,Cyprus,2018,<25,-0.04,8,4.85,4.88,,,,,-0.4,10.0,5.5,5.9,-0.41,10,3.39,3.8,0.08,7,3.47,3.39,-0.14,8.0,3.64,3.79,0.23,6,3.41,3.19,-0.12,8,2.95,3.07
CY,Cyprus,2018,AGGREGATE,0.27,6,4.62,4.36,,,,,0.28,6.0,4.12,3.85,-0.59,10,3.88,4.46,0.21,6,3.22,3.02,0.39,6.0,3.64,3.25,-0.03,8,3.52,3.55,-0.02,8,3.09,3.11
CZ,Czechia,2018,25-39,0.07,7,4.67,4.6,,,,,-0.03,8.0,5.46,5.5,-0.21,9,1.53,1.74,-0.1,8,3.44,3.53,-0.06,8.0,4.08,4.13,0.16,7,3.6,3.44,-0.02,8,3.46,3.47
CZ,Czechia,2018,40-59,0.04,7,4.34,4.31,,,,,-0.02,8.0,4.87,4.89,-0.21,9,1.71,1.92,-0.11,8,3.18,3.3,0.14,7.0,4.1,3.95,0.14,7,3.66,3.52,0.03,7,3.41,3.38
CZ,Czechia,2018,60+,0.07,7,4.11,4.04,,,,,0.48,5.0,3.81,3.33,-0.49,10,1.83,2.32,-0.17,8,3.04,3.21,0.43,5.0,3.31,2.88,0.1,7,3.6,3.5,0.12,7,3.45,3.33
CZ,Czechia,2018,<25,0.08,7,4.79,4.71,,,,,0.08,7.0,5.68,5.6,-0.25,9,1.34,1.6,-0.0,8,3.74,3.74,0.2,7.0,4.17,3.98,0.07,7,3.41,3.34,-0.15,8,3.62,3.78
CZ,Czechia,2018,AGGREGATE,0.08,7,4.39,4.31,,,,,0.26,6.0,4.78,4.52,-0.33,9,1.67,1.99,-0.1,8,3.26,3.36,0.29,6.0,3.86,3.58,0.12,7,3.6,3.48,0.04,7,3.45,3.42
DE,Germany,2018,25-39,0.29,6,4.77,4.48,,,,,0.03,7.0,5.85,5.82,-0.2,9,2.22,2.43,0.05,7,3.93,3.88,-0.06,8.0,4.28,4.34,0.04,7,2.7,2.65,-0.01,8,3.9,3.92
DE,Germany,2018,40-59,0.23,6,4.66,4.43,,,,,-0.05,8.0,5.51,5.56,-0.32,9,2.39,2.7,-0.0,8,3.76,3.77,0.07,7.0,4.66,4.59,0.03,7,2.8,2.77,0.27,6,4.0,3.72
DE,Germany,2018,60+,0.14,7,4.52,4.38,,,,,0.41,5.0,4.1,3.69,-0.49,10,2.54,3.03,-0.09,8,3.64,3.74,0.23,6.0,4.3,4.07,0.19,7,3.06,2.87,0.01,7,3.8,3.79
DE,Germany,2018,<25,0.36,6,4.87,4.51,,,,,0.02,7.0,5.83,5.81,-0.26,9,2.41,2.67,0.18,7,4.1,3.93,0.29,6.0,4.33,4.04,0.33,6,2.73,2.4,-0.18,8,3.95,4.12
DE,Germany,2018,AGGREGATE,0.23,6,4.66,4.43,,,,,0.16,7.0,5.11,4.95,-0.35,9,2.41,2.77,0.0,7,3.8,3.8,0.12,7.0,4.41,4.3,0.12,7,2.86,2.74,0.07,7,3.9,3.83
DK,Denmark,2018,25-39,0.11,7,5.18,5.08,,,,,0.11,7.0,5.92,5.81,-0.44,10,1.81,2.25,-0.21,9,3.97,4.17,-0.09,8.0,4.34,4.44,0.2,6,2.69,2.48,-0.2,8,4.35,4.55
DK,Denmark,2018,40-59,0.15,7,5.19,5.04,,,,,0.03,7.0,5.78,5.75,-0.34,9,2.07,2.4,-0.15,8,3.89,4.04,0.13,7.0,4.97,4.84,0.27,6,2.87,2.59,-0.07,8,4.5,4.57
DK,Denmark,2018,60+,0.18,7,5.06,4.88,,,,,0.19,7.0,5.05,4.86,-0.5,10,2.26,2.76,-0.14,8,3.72,3.85,0.25,6.0,4.31,4.06,0.2,7,2.97,2.77,0.13,7,4.52,4.39
DK,Denmark,2018,<25,0.27,6,5.22,4.95,,,,,-0.06,8.0,5.81,5.87,-0.01,8,1.97,1.98,0.07,7,4.51,4.43,0.24,6.0,4.47,4.23,0.28,6,2.74,2.46,-0.07,8,4.45,4.51
DK,Denmark,2018,AGGREGATE,0.17,7,5.15,4.98,,,,,0.1,7.0,5.54,5.44,-0.38,9,2.08,2.46,-0.11,8,3.93,4.04,0.12,7.0,4.56,4.43,0.23,6,2.85,2.62,-0.02,8,4.47,4.49
EE,Estonia,2018,25-39,-0.0,8,4.61,4.62,,,,,-0.11,8.0,5.79,5.9,-0.22,9,1.93,2.15,0.09,7,3.41,3.32,-0.02,8.0,4.38,4.4,0.2,7,3.45,3.25,-0.31,9,3.57,3.88
EE,Estonia,2018,40-59,-0.03,8,4.44,4.47,,,,,0.04,7.0,5.4,5.36,-0.49,10,2.03,2.52,-0.13,8,3.05,3.18,0.2,6.0,4.17,3.97,0.25,6,3.63,3.38,-0.04,8,3.76,3.8
EE,Estonia,2018,60+,0.03,7,4.06,4.03,,,,,0.12,7.0,3.35,3.24,-0.47,10,2.11,2.58,-0.13,8,2.95,3.08,0.28,6.0,3.42,3.13,0.1,7,3.76,3.66,-0.16,8,3.69,3.85
EE,Estonia,2018,<25,0.22,6,4.86,4.63,,,,,0.05,7.0,5.96,5.91,-0.2,9,1.72,1.93,0.07,7,3.71,3.64,-0.01,8.0,4.35,4.36,0.27,6,3.27,3.0,0.02,7,4.16,4.14
EE,Estonia,2018,AGGREGATE,0.09,7,4.41,4.32,,,,,0.31,6.0,4.91,4.6,-0.43,10,1.99,2.43,-0.02,8,3.18,3.2,0.28,6.0,4.0,3.73,0.15,7,3.59,3.44,-0.13,8,3.74,3.86
ES,Spain,2018,25-39,0.26,6,4.82,4.56,,,,,-0.05,8.0,5.79,5.84,-0.64,11,2.01,2.65,0.1,7,3.85,3.74,0.54,5.0,4.19,3.65,0.04,7,2.64,2.6,-0.05,8,3.22,3.27
ES,Spain,2018,40-59,0.1,7,4.59,4.49,,,,,-0.14,8.0,5.17,5.31,-0.66,11,2.16,2.82,-0.02,8,3.66,3.68,0.22,6.0,3.99,3.78,0.04,7,2.72,2.68,0.1,7,3.44,3.33
ES,Spain,2018,60+,0.23,6,4.42,4.19,,,,,0.64,4.0,3.33,2.69,-0.96,12,2.54,3.5,0.2,7,3.71,3.52,0.39,6.0,3.84,3.45,-0.13,8,2.9,3.03,0.11,7,3.42,3.3
ES,Spain,2018,<25,0.38,6,4.86,4.48,,,,,0.06,7.0,5.9,5.85,-0.07,8,2.07,2.13,0.1,7,4.15,4.05,0.26,6.0,4.33,4.07,0.28,6,2.64,2.36,0.07,7,3.41,3.35
ES,Spain,2018,AGGREGATE,0.22,6,4.63,4.41,,,,,0.28,6.0,4.89,4.62,-0.71,11,2.22,2.93,0.1,7,3.78,3.68,0.36,6.0,4.04,3.68,0.0,7,2.74,2.74,0.07,7,3.38,3.31
FI,Finland,2018,25-39,0.05,7,4.99,4.94,,,,,0.01,7.0,5.91,5.9,-0.38,9,2.0,2.38,-0.0,8,3.78,3.78,0.04,7.0,4.24,4.21,0.26,6,3.0,2.74,0.05,7,4.34,4.29
FI,Finland,2018,40-59,0.14,7,4.96,4.82,,,,,-0.09,8.0,5.76,5.85,-0.38,9,2.4,2.78,-0.09,8,3.58,3.68,0.03,7.0,4.56,4.52,0.28,6,3.16,2.88,0.04,7,4.38,4.34
FI,Finland,2018,60+,0.14,7,4.83,4.7,,,,,0.19,7.0,4.51,4.31,-0.77,11,2.77,3.54,-0.16,8,3.53,3.69,0.39,6.0,4.22,3.82,0.08,7,3.15,3.07,0.05,7,4.38,4.33
FI,Finland,2018,<25,0.25,6,5.06,4.82,,,,,-0.04,8.0,5.92,5.97,-0.52,10,1.92,2.45,-0.08,8,3.94,4.02,0.39,6.0,4.11,3.72,0.36,6,2.97,2.62,0.06,7,4.54,4.48
FI,Finland,2018,AGGREGATE,0.14,7,4.93,4.79,,,,,0.06,7.0,5.32,5.26,-0.56,10,2.42,2.97,-0.11,8,3.64,3.74,0.22,6.0,4.33,4.11,0.21,6,3.11,2.9,0.04,7,4.39,4.35
FR,France,2018,25-39,0.26,6,4.74,4.47,,,,,-0.1,8.0,5.66,5.76,-0.15,8,2.28,2.43,0.13,7,3.92,3.79,0.32,6.0,4.1,3.78,0.14,7,2.78,2.64,0.09,7,3.49,3.39
FR,France,2018,40-59,0.2,7,4.39,4.19,,,,,-0.03,8.0,5.24,5.27,-0.37,9,2.19,2.56,-0.11,8,3.58,3.69,0.19,7.0,4.03,3.84,0.0,7,2.8,2.79,0.04,7,3.51,3.47
FR,France,2018,60+,0.39,6,4.36,3.97,,,,,0.55,5.0,3.94,3.39,-0.62,11,2.43,3.05,0.06,7,3.68,3.61,0.58,5.0,4.02,3.44,-0.01,8,3.02,3.03,0.1,7,3.65,3.55
FR,France,2018,<25,0.41,5,4.81,4.39,,,,,0.09,7.0,5.89,5.8,-0.1,8,2.09,2.18,0.13,7,4.03,3.9,0.07,7.0,3.66,3.58,0.16,7,2.72,2.56,-0.05,8,3.72,3.77
FR,France,2018,AGGREGATE,0.32,6,4.48,4.16,,,,,0.29,6.0,4.88,4.59,-0.43,10,2.29,2.71,0.03,7,3.72,3.69,0.37,6.0,4.01,3.64,0.03,7,2.87,2.85,0.06,7,3.58,3.52
GB,United Kingdom,2018,25-39,0.14,7,4.67,4.53,,,,,-0.09,8.0,5.76,5.85,-0.11,8,2.14,2.25,-0.05,8,3.68,3.72,0.14,7.0,4.29,4.15,0.07,7,2.63,2.56,0.0,7,3.69,3.69
GB,United Kingdom,2018,40-59,0.08,7,4.52,4.44,,,,,-0.15,8.0,5.42,5.57,-0.43,10,2.07,2.5,-0.14,8,3.42,3.57,0.11,7.0,4.2,4.08,0.08,7,2.8,2.71,0.04,7,3.62,3.57
GB,United Kingdom,2018,60+,0.24,6,4.59,4.35,,,,,0.28,6.0,4.23,3.95,-0.65,11,2.37,3.02,-0.17,8,3.53,3.7,0.4,5.0,4.15,3.75,0.12,7,3.12,3.0,-0.06,8,3.55,3.6
GB,United Kingdom,2018,<25,0.02,7,4.49,4.48,,,,,-0.18,8.0,5.79,5.96,0.17,7,1.97,1.81,-0.25,9,3.9,4.14,-0.1,8.0,3.74,3.84,0.02,7,2.69,2.67,-0.17,8,3.76,3.93
GB,United Kingdom,2018,AGGREGATE,0.14,7,4.57,4.43,,,,,-0.03,8.0,5.02,5.05,-0.4,9,2.2,2.6,-0.14,8,3.55,3.69,0.2,7.0,4.17,3.98,0.11,7,2.89,2.78,-0.02,8,3.61,3.63
HR,Croatia,2018,25-39,0.13,7,4.96,4.83,,,,,-0.05,8.0,5.79,5.83,-0.48,10,3.02,3.51,0.09,7,3.8,3.71,0.15,7.0,4.34,4.19,-0.01,8,3.3,3.3,-0.05,8,2.51,2.56
HR,Croatia,2018,40-59,0.07,7,4.71,4.64,,,,,-0.07,8.0,5.1,5.16,-0.55,10,3.16,3.71,0.15,7,3.64,3.49,0.26,6.0,4.16,3.91,0.09,7,3.37,3.27,0.02,7,2.6,2.58
HR,Croatia,2018,60+,0.23,6,4.39,4.16,,,,,0.3,6.0,3.24,2.94,-0.91,12,2.97,3.88,0.24,6,3.41,3.17,0.54,5.0,3.58,3.04,0.04,7,3.31,3.27,-0.03,8,2.53,2.57
HR,Croatia,2018,<25,0.18,7,5.12,4.94,,,,,-0.0,8.0,5.96,5.96,0.03,7,3.24,3.21,0.05,7,3.95,3.9,0.25,6.0,4.22,3.97,0.3,6,3.45,3.15,-0.24,9,2.55,2.79
HR,Croatia,2018,AGGREGATE,0.14,7,4.66,4.52,,,,,0.03,7.0,4.55,4.52,-0.62,11,3.07,3.69,0.16,7,3.6,3.45,0.34,6.0,3.96,3.62,0.07,7,3.34,3.26,-0.04,8,2.55,2.59
HU,Hungary,2018,25-39,0.04,7,4.42,4.38,,,,,-0.22,9.0,5.15,5.38,-0.24,9,1.95,2.19,0.03,7,3.2,3.18,-0.07,8.0,3.85,3.92,0.04,7,3.73,3.7,-0.04,8,3.53,3.57
HU,Hungary,2018,40-59,-0.06,8,4.12,4.18,,,,,-0.2,9.0,4.52,4.73,-0.3,9,2.15,2.44,-0.02,8,2.87,2.89,-0.03,8.0,3.79,3.81,0.01,7,3.8,3.8,-0.04,8,3.64,3.67
HU,Hungary,2018,60+,0.11,7,3.87,3.76,,,,,0.2,6.0,2.56,2.36,-0.92,12,2.5,3.41,0.18,7,2.72,2.54,0.34,6.0,3.41,3.07,-0.06,8,3.84,3.9,-0.05,8,3.63,3.68
HU,Hungary,2018,<25,-0.01,8,4.59,4.6,,,,,-0.14,8.0,5.56,5.7,-0.06,8,1.93,1.99,0.14,7,3.63,3.49,-0.07,8.0,3.86,3.93,0.01,7,3.66,3.65,0.03,7,3.71,3.68
HU,Hungary,2018,AGGREGATE,0.06,7,4.14,4.08,,,,,0.11,7.0,4.07,3.95,-0.55,10,2.21,2.76,0.11,7,2.96,2.85,0.15,7.0,3.66,3.52,-0.02,8,3.78,3.81,-0.03,8,3.62,3.66
IE,Ireland,2018,25-39,0.06,7,4.74,4.69,,,,,0.04,7.0,5.73,5.69,-0.08,8,2.81,2.89,0.09,7,3.58,3.49,0.11,7.0,3.97,3.86,-0.02,8,2.58,2.59,0.0,7,3.61,3.61
IE,Ireland,2018,40-59,0.12,7,4.65,4.53,,,,,-0.36,9.0,5.14,5.49,-0.59,10,2.89,3.48,-0.1,8,3.35,3.44,0.26,6.0,4.06,3.81,0.06,7,2.72,2.65,0.11,7,3.54,3.43
IE,Ireland,2018,60+,0.22,6,4.74,4.52,,,,,-0.13,8.0,3.45,3.58,-0.59,10,3.71,4.3,-0.09,8,3.47,3.56,0.34,6.0,3.88,3.54,-0.0,8,2.93,2.93,-0.02,8,3.62,3.64
IE,Ireland,2018,<25,0.17,7,4.78,4.61,,,,,-0.06,8.0,5.8,5.86,-0.16,8,2.48,2.64,0.14,7,4.01,3.87,0.84,3.0,4.11,3.27,0.03,7,2.48,2.45,0.02,7,3.75,3.73
IE,Ireland,2018,AGGREGATE,0.15,7,4.72,4.56,,,,,-0.3,9.0,4.56,4.86,-0.41,10,3.2,3.61,-0.03,8,3.49,3.52,0.26,6.0,3.96,3.7,0.04,7,2.77,2.73,0.04,7,3.6,3.56
IS,Iceland,2018,25-39,0.08,7,5.2,5.11,,,,,0.01,7.0,5.97,5.96,-0.53,10,1.87,2.4,-0.24,9,3.95,4.19,0.4,5.0,4.87,4.47,0.25,6,2.41,2.16,-0.01,8,4.01,4.02
